x	y
17.0136	676.7989414
17.0304	676.7987288
17.046	676.7989525
17.0628	676.7999342
17.0784	676.8010379
17.0916	676.8019437
17.106	676.8027261
17.1204	676.8033993
17.1348	676.8040273
17.148	676.8046511
17.1612	676.8052828
17.1756	676.8057348
17.19	676.8061623
17.2044	676.8067537
17.2176	676.8072667
17.232	676.8078663
17.2464	676.8086931
17.262	676.8096402
17.2776	676.8105369
17.292	676.8115719
17.3052	676.812648
17.3184	676.8137602
17.3316	676.8147551
17.346	676.8155467
17.3604	676.8162569
17.3736	676.8168493
17.388	676.8174637
17.4012	676.8178476
17.4156	676.8174958
17.4288	676.817119
17.4432	676.8173017
17.4576	676.8177819
17.472	676.8183127
17.4876	676.8183025
17.5008	676.8185179
17.5152	676.8193444
17.5272	676.8201397
17.5416	676.8211602
17.556	676.8224924
17.5704	676.8238679
17.586	676.8251048
17.6004	676.8261539
17.6136	676.8270242
17.628	676.8278156
17.6412	676.8285119
17.6556	676.8293947
17.67	676.8302709
17.6856	676.8310807
17.6988	676.8312035
17.7132	676.8306337
17.7276	676.8300661
17.7408	676.8295994
17.7552	676.8292394
17.7696	676.8294825
17.784	676.8300993
17.7996	676.831392
17.8128	676.8323607
17.8272	676.8330849
17.8428	676.8340039
17.8572	676.8349679
17.8704	676.8357742
17.8836	676.8366578
17.8992	676.8378339
17.9136	676.8386902
17.928	676.839376
17.9424	676.8403076
17.9568	676.8412801
17.9712	676.8423376
17.9844	676.8431822
18	676.8440088
18.0144	676.8448815
18.0288	676.8456406
18.0432	676.846063
18.0576	676.8462118
18.072	676.8460852
18.0876	676.8458489
18.1008	676.8458873
18.1152	676.846371
18.1296	676.8470514
18.144	676.8478567
18.1596	676.8487656
18.1728	676.8495109
18.1872	676.8501732
18.2004	676.850967
18.216	676.8521271
18.2304	676.8530255
18.2448	676.8537608
18.2592	676.8544043
18.2736	676.8550431
18.288	676.8557408
18.3012	676.8566141
18.3144	676.8574987
18.3312	676.8582528
18.3444	676.858838
18.3588	676.8595399
18.3732	676.8602269
18.3864	676.8608265
18.402	676.8617139
18.4164	676.8624448
18.4308	676.8631002
18.4452	676.8639889
18.4572	676.8647662
18.4728	676.8656861
18.4872	676.8664756
18.5028	676.867344
18.5148	676.8680121
18.528	676.8687239
18.5424	676.8692905
18.5568	676.8698897
18.5724	676.8707739
18.5856	676.8714387
18.5988	676.8719992
18.612	676.8724649
18.6264	676.8728822
18.6408	676.8733425
18.6552	676.8738313
18.6708	676.8744367
18.6852	676.8751043
18.6984	676.875822
18.7128	676.8770311
18.7272	676.8781282
18.738	676.8787583
18.7536	676.8797695
18.768	676.8807345
18.786	676.8814233
18.8028	676.8821979
18.8184	676.8831684
18.8364	676.8845344
18.8532	676.8856541
18.87	676.8865584
18.8844	676.8873618
18.9012	676.8882031
18.918	676.8886484
18.9336	676.8881297
18.9492	676.8880381
18.9636	676.8883495
18.9792	676.8888212
18.996	676.8899718
19.0092	676.8908931
19.0236	676.891561
19.0368	676.8921384
19.0512	676.8928203
19.0656	676.8935395
19.08	676.894337
19.0956	676.8953504
19.1088	676.8963002
19.1244	676.897584
19.1388	676.8984697
19.152	676.8993376
19.1676	676.9035287
19.182	676.9341804
19.1964	677.0192175
19.2096	677.1654828
19.224	677.4149966
19.2396	677.7750554
19.2528	678.1327415
19.2672	678.5728456
19.2804	679.0158898
19.296	679.5859541
19.3104	680.1575849
19.3248	680.7769925
19.3392	681.4388896
19.3524	682.0715469
19.3656	682.7205639
19.38	683.4419801
19.3932	684.1196063
19.4088	684.9546206
19.4232	685.7669545
19.4376	686.6133728
19.452	687.4747956
19.4652	688.2527308
19.4808	689.1455168
19.4952	689.9451888
19.5096	690.7242883
19.524	691.4870306
19.5384	692.2370431
19.5528	692.9773735
19.5672	693.7058313
19.5816	694.4207132
