5.41545 0.0913405
5.4133  0.0912976
5.41913 0.0913381
5.70351 0.0913383
5.7982  0.0913589
5.91686 0.0911941
5.86322 0.091277
5.68377 0.0912193
5.38428 0.0912223
5.16687 0.09386
4.97819 0.0930183
4.69278 0.0846409
4.5624  0.0840984
4.51742 0.1102
4.49212 0.298208
4.39801 0.358646
4.38315 0.369342
4.37564 0.360182
4.38346 0.354882
4.49288 0.357769
4.6528  0.368144
4.7937  0.376956
4.99375 0.388817
4.98241 1.46712
4.9122  2.0283
3.66003 3.89065
1.9717  4.96087
1.98354 4.95464
2.03075 5.05662
2.1696  5.38364
2.27729 5.63764
2.34602 5.79898
2.36598 5.84458
2.32767 5.75324
2.38386 5.70493
4.08836 4.63599
5.48921 2.85837
5.3626  2.8148
5.18952 2.73074
4.95103 2.61133
4.70275 2.48939
4.51734 2.39936
4.34059 2.31271
4.25157 2.26485
4.07039 2.17207
3.97515 2.12495
4.05833 2.16461
4.4134  2.34557
4.69996 2.49165
4.86426 2.57498
4.70106 2.49196
4.69685 2.49873
3.92715 3.58851
2.26057 4.81423
1.91477 4.96128
2.00834 5.14719
2.14362 5.47198
2.24142 5.70939
2.30569 5.86441
2.32393 5.88908
3.66026 5.16437
5.35397 3.37424
5.19767 3.30368
4.98283 3.1753
4.72262 3.01691
4.54522 2.90933
4.47725 2.8671
4.31074 2.76604
4.13366 2.65005
3.93312 2.53099
3.85431 2.48039
3.85416 2.47982
3.86952 2.4885
4.07628 2.61567
4.25517 2.72513
4.49158 2.87113
4.5212  3.3178
4.30529 3.82436
4.1349  3.66079
3.93996 3.49988
2.80783 4.32285
2.3957  4.51839
2.45597 4.62608
2.43236 4.66527
1.52513 5.03488
1.62125 5.29592
1.7253  5.6197
1.79586 5.83345
1.83147 5.9413
2.40723 5.73309
4.6529  4.13571
4.92013 3.8175
4.81118 3.73621
4.59547 3.57435
4.31123 3.36095
4.06077 3.17092
3.9836  3.10913
3.82348 2.98068
3.68021 2.8776
3.5186  2.74678
3.39124 2.64629
3.39783 2.64577
3.4855  2.7099
3.78987 2.94126
4.03989 3.13348
3.55976 3.89721
2.32618 4.78394
1.33235 5.1443
1.43891 5.51438
1.51671 5.79505
1.56745 5.97402
1.58409 6.03063
1.56525 5.95925
1.72502 5.86774
3.791 4.74991
4.73171 3.84295
4.68959 3.81
4.47028 3.64023
4.09624 3.34685
3.86239 3.1598
3.63234 2.9719
3.42315 2.80649
3.34248 2.73753
3.66243 2.99284
3.89794 3.1802
4.06364 3.31231
4.08194 3.32693
4.0557  3.30687
4.00643 3.489
2.47113 4.7446
1.12483 5.34131
1.20716 5.70286
1.2701  5.97811
