5.41543	0.0913356
5.542	0.0913874
5.71443	0.0916229
5.40581	0.0694992
5.86793	0.0682574
5.8931	0.0682363
5.62705	0.069816
5.19996	0.0726882
4.87783	0.0741197
4.90081	0.0738542
4.96938	0.0728315
4.98723	0.0724926
5.41961	0.30451
5.5827	1.60682
5.51356	1.93572
5.45977	1.91398
5.17908	2.57862
3.87551	4.29454
2.49527	5.21757
1.43903	5.62181
1.46671	5.74716
1.54182	6.01568
1.63708	6.36455
1.68954	6.55527
1.66462	6.46103
1.86705	6.28746
3.87025	5.22348
5.38863	3.9459
6.13418	3.10097
6.26415	2.25114
5.92939	1.75385
5.92777	1.6534
5.88665	1.64602
5.26031	1.49134
4.91261	1.39507
5.12119	1.45013
4.91089	1.58387
4.31737	2.01536
4.54553	2.12071
4.49591	2.55379
3.93646	3.6647
2.70206	4.66696
1.80832	5.21733
1.48577	5.63221
1.39545	5.84262
1.45666	6.02323
1.48586	6.13295
1.9791	6.0591
4.00162	5.08187
5.71405	3.20285
6.39599	1.91785
6.72815	1.98135
6.7673	1.23217
6.40419	1.12641
6.4006	1.03129
5.92782	0.855706
5.41527	0.753694
5.07669	0.644639
4.81715	0.58279
4.78389	0.570318
4.65386	1.08342
4.68241	1.12242
5.0786	1.50628
4.89392	2.81694
4.53557	2.86325
3.89502	3.78279
2.43323	4.888
1.64608	5.49757
0.917044	5.98879
1.14689	6.07924
1.15571	6.18336
1.51817	6.14144
3.61904	5.2065
5.0634	3.99852
5.1995	2.72088
5.00574	1.83514
4.43462	1.16017
3.93184	0.914216
4.82187	1.10067
4.67507	1.07295
4.01996	0.933779
3.771	0.886676
4.1724	0.969407
4.91875	1.12566
5.35986	1.36901
5.23578	2.89404
4.40218	4.43974
3.56263	5.03437
1.37127	6.1141
1.26583	6.38619
1.31648	6.62727
1.3523	6.78686
