5.41516	0.0912887
5.47061	0.0913468
5.89162	0.0914567
6.15596	0.0912194
6.50231	0.0913936
6.70228	0.0912854
6.3788	0.0915419
6.16654	0.0932117
5.85324	0.0925874
5.14579	0.0884239
4.66848	0.0894524
4.26506	0.0855981
3.8896	0.0846662
3.88345	0.0824943
3.87946	0.0827403
3.79339	0.081381
4.1365	0.0838382
4.24027	0.0857227
4.36802	0.0894385
4.67929	0.0899397
5.12971	0.0880826
5.70746	0.0876256
5.9539	0.0872743
5.95302	0.0865199
5.94751	0.0874273
5.81136	1.2642
4.8805	3.39742
4.85771	3.42773
4.89413	3.45181
4.96655	3.49988
4.97936	3.5917
4.02726	4.65535
1.77085	5.86492
0.468825	6.10685
0.468323	6.10296
0.499377	6.43657
0.526509	6.72593
0.541155	6.87688
0.545928	6.90215
2.01467	6.62264
4.80041	5.01895
6.45959	2.62545
6.74375	0.386728
6.29226	-0.74891
6.02641	-0.713049
5.51567	-0.648093
5.22045	-0.609984
5.1707	-0.602217
5.04592	-0.587569
4.69517	-0.545158
4.53966	-0.523363
4.24373	-0.48342
3.8044	-0.421841
3.47324	-0.379275
3.56989	-0.392532
3.70486	-0.0301248
3.52952	1.18603
2.54457	2.72298
0.986582	3.58868
0.418956	3.68876
0.459665	3.67716
0.460131	3.6892
0.562783	4.39133
0.680166	5.20009
0.729122	5.53656
0.762402	5.7648
0.780883	5.8913
0.805465	5.92108
2.4129	5.46561
4.70915	3.67488
5.78751	2.20866
6.14108	2.34186
6.42249	2.448
6.59535	2.51265
6.6451	2.53183
6.17128	2.35762
5.99018	2.29072
6.04964	2.31267
6.16066	2.3539
6.23733	2.38219
6.2288	2.37903
5.95432	2.27771
5.60369	2.15037
5.29245	2.04368
4.64646	1.80437
4.42098	1.72443
4.88665	1.89737
5.2184	2.01812
5.15581	1.99397
5.0022	1.93968
4.5753	1.94319
4.60496	1.9484
4.46532	2.18547
3.23006	3.77729
0.993218	4.86858
0.652988	5.00576
0.700881	5.32881
0.738927	5.57757
