y x1  x2  x3  x4  x5  x6  x7  x8  x9  x10
0 0 0 0 0 0 0 0 0 0 0
35  300 283	266	249	232	216	199	182	165	148
40  320 303	286	269	252	235	218	201	184	167
45  350 332	314	296	277	259	241	223	205	187
60  420 400	381	361	342	322	303	283	264	244
70  460 440	420	401	381	361	341	322	302	282
80  500 480	460	440	420	400	380	360	340	320
90  530 511	491	472	453	434	414	395	376	357
100 550 532	515	497	480	462	445	427	410	392
120 570 558	546	534	522	510	498	486	474	462
140 590 583	577	570	564	557	551	544	538	531
160 600 600	600	600	600	600	600	600	600	600
